Code,Position,Latitute,Longitude ,Tree age,Origin
Cri15S-16,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-17,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-18,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-19,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-20,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-21,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-22,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16N-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16N-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-8,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-9,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-12,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-13,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-14,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-15,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-16,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-18,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-19,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-21,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S-22,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17N-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17N-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-5,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-6,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-7,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-12,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-13,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-14,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-15,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-18,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-22,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S-23,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18N-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18N-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18N-4,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-7,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-8,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-6,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-9,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-11,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-12,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-13,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-14,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-16,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-18,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-20,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-21,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri18S-23,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
